timestamp, Dev1/ai17, Dev1/ai18, Dev1/ai19, Dev1/ai20, Dev1/ai21, Dev1/ai3, Dev1/ai0
1676482332.0394254, 4.6741905, 0.88368624, 10.099936, -0.00017867949, 0.0136669185, 0.9996031, 0.9992811
1676482332.0404315, 4.079465, 1.4053122, 10.10058, -0.00017867949, 0.02493659, 0.9996031, 0.9999251
1676482332.0414376, 3.582627, 1.7585372, 10.100258, 0.00014331115, 0.02976645, 0.9986371, 0.9989591
1676482332.0424438, 3.166611, 1.9861854, 10.099936, -0.00017867949, 0.033308346, 0.9989591, 0.9992811
1676482332.0434499, 2.8182142, 2.1191683, 10.098326, 0.00014331115, 0.035240293, 0.9992811, 0.9996031
1676482332.044456, 2.5274546, 2.1829226, 10.098003, -0.00017867949, 0.035240293, 0.9986371, 0.9989591
1676482332.0454621, 2.2833843, 2.1948364, 10.099936, -0.00082266075, 0.03556228, 0.9989591, 0.9989591
1676482332.0464683, 2.0789192, 2.171653, 10.098326, -0.00017867949, 0.035884272, 0.9989591, 0.9996031
1676482332.0474744, 1.9072974, 2.124964, 10.098969, -0.00082266075, 0.035884272, 0.9989591, 0.9992811
1676482332.0484805, 1.763367, 2.0624976, 10.099614, -0.0005006701, 0.03556228, 0.9989591, 0.9989591
1676482332.0494866, 1.643264, 1.9906933, 10.099936, -0.0005006701, 0.036528256, 0.9986371, 0.9992811
1676482332.0504928, 1.5424807, 1.9137373, 10.098969, -0.00017867949, 0.03556228, 0.9992811, 0.9996031
1676482332.051499, 1.4577968, 1.8358152, 10.10058, -0.00017867949, 0.036528256, 0.9986371, 0.9996031
1676482332.052505, 1.3872807, 1.7595031, 10.10058, -0.0005006701, 0.036528256, 0.9992811, 0.9996031
1676482332.0535111, 1.3270683, 1.685123, 10.099614, -0.00017867949, 0.036206264, 0.9986371, 0.9989591
1676482332.0545173, 1.2781255, 1.6162168, 10.099614, -0.0005006701, 0.035884272, 0.9996031, 0.9996031
1676482332.0555234, 1.2356228, 1.5505304, 10.098648, -0.00017867949, 0.036206264, 0.9989591, 0.9999251
1676482332.0565293, 1.2008476, 1.49064, 10.099614, -0.0005006701, 0.036528256, 0.9989591, 0.9996031
1676482332.0575354, 1.1715465, 1.4359014, 10.099292, -0.00017867949, 0.035884272, 0.9989591, 0.9989591
1676482332.0585415, 1.147075, 1.3863147, 10.099292, -0.0005006701, 0.036206264, 0.9986371, 0.9989591
1676482332.0595477, 1.1267897, 1.3418798, 10.099292, -0.00017867949, 0.036528256, 0.9986371, 0.9996031
1676482332.0605538, 1.109724, 1.300987, 10.099936, -0.0005006701, 0.03556228, 0.9992811, 0.9992811
